73441 | ps | CPU:350% | MEM:0.1% | 2025-12-19 10:53:47 | Soft Killed
73453 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:47 | Soft Killed
73479 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:50 | Soft Killed
73494 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:50 | Soft Killed
73498 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:53:50 | Soft Killed
73535 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:53 | Soft Killed
73544 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:53:54 | Soft Killed
73551 | ps | CPU:250% | MEM:0.2% | 2025-12-19 10:53:55 | Soft Killed
73563 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:55 | Soft Killed
73569 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:53:56 | Soft Killed
73598 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:57 | Soft Killed
73602 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:53:58 | Soft Killed
73636 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:54:00 | Soft Killed
73648 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:54:01 | Soft Killed
73652 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:02 | Soft Killed
73656 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:02 | Soft Killed
73668 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:02 | Soft Killed
73682 | ps | CPU:350% | MEM:0.1% | 2025-12-19 10:54:03 | Soft Killed
73705 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:54:05 | Soft Killed
73737 | ps | CPU:350% | MEM:0.2% | 2025-12-19 10:54:07 | Soft Killed
73749 | ps | CPU:233% | MEM:0.1% | 2025-12-19 10:54:08 | Soft Killed
73767 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:09 | Soft Killed
73772 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:09 | Soft Killed
73785 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:10 | Soft Killed
73803 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:12 | Soft Killed
73826 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:14 | Soft Killed
73839 | ps | CPU:500% | MEM:0.1% | 2025-12-19 10:54:14 | Soft Killed
73843 | ps | CPU:350% | MEM:0.2% | 2025-12-19 10:54:14 | Soft Killed
73855 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:15 | Soft Killed
73871 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:54:16 | Soft Killed
73888 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:17 | Soft Killed
73904 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:19 | Soft Killed
73944 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:22 | Soft Killed
73957 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:54:23 | Soft Killed
73969 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:24 | Soft Killed
73983 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:24 | Soft Killed
73999 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:26 | Soft Killed
74002 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:26 | Soft Killed
74043 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:54:29 | Soft Killed
74066 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:54:31 | Soft Killed
74080 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:31 | Soft Killed
74084 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:54:32 | Soft Killed
74109 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:33 | Soft Killed
74111 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:33 | Soft Killed
74129 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:35 | Soft Killed
74156 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:54:37 | Soft Killed
74170 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:54:38 | Soft Killed
74182 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:54:39 | Soft Killed
74186 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:39 | Soft Killed
74210 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:40 | Soft Killed
74210 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:40 | Soft Killed
74212 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:42 | Soft Killed
74212 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:42 | Soft Killed
74258 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:54:44 | Soft Killed
74274 | ps | CPU:600% | MEM:0.1% | 2025-12-19 10:54:45 | Soft Killed
74286 | ps | CPU:500% | MEM:0.1% | 2025-12-19 10:54:46 | Soft Killed
74290 | ps | CPU:600% | MEM:0.1% | 2025-12-19 10:54:46 | Soft Killed
74293 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:54:46 | Soft Killed
74308 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:54:47 | Soft Killed
74347 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:49 | Soft Killed
74346 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:49 | Soft Killed
74362 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:54:51 | Soft Killed
74347 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:51 | Soft Killed
74379 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:54:52 | Soft Killed
74391 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:54:53 | Soft Killed
74395 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:54:53 | Soft Killed
74395 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:53 | Soft Killed
74415 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:54:54 | Soft Killed
74453 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:54:56 | Soft Killed
74465 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:58 | Soft Killed
74477 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:58 | Soft Killed
74491 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:54:59 | Soft Killed
74495 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:00 | Soft Killed
74500 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:55:00 | Soft Killed
74500 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:55:00 | Soft Killed
74479 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:00 | Soft Killed
74528 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:01 | Soft Killed
74502 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:02 | Soft Killed
74502 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:02 | Soft Killed
74566 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:03 | Soft Killed
74503 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:04 | Soft Killed
74503 | ps | CPU:300% | MEM:0.0% | 2025-12-19 10:55:04 | Soft Killed
74592 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:05 | Soft Killed
74626 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:08 | Soft Killed
74638 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:08 | Soft Killed
74662 | ps | CPU:800% | MEM:0.1% | 2025-12-19 10:55:11 | Soft Killed
74674 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:11 | Soft Killed
74674 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:11 | Soft Killed
74685 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:55:12 | Soft Killed
74697 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:12 | Soft Killed
74675 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:13 | Soft Killed
74728 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:55:15 | Soft Killed
74740 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:15 | Soft Killed
74754 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:16 | Soft Killed
74781 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:18 | Soft Killed
74795 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:19 | Soft Killed
74799 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:55:19 | Soft Killed
74811 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:55:20 | Soft Killed
74829 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:22 | Soft Killed
74841 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:22 | Soft Killed
74847 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:23 | Soft Killed
74859 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:23 | Soft Killed
74885 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:25 | Soft Killed
74903 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:26 | Soft Killed
74916 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:55:28 | Soft Killed
74932 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:55:29 | Soft Killed
74944 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:29 | Soft Killed
74974 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:31 | Soft Killed
74988 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:33 | Soft Killed
75002 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:34 | Soft Killed
75014 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:35 | Soft Killed
75020 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:35 | Soft Killed
75045 | ps | CPU:500% | MEM:0.1% | 2025-12-19 10:55:36 | Soft Killed
75098 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:55:41 | Soft Killed
75096 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:55:41 | Soft Killed
75112 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:42 | Soft Killed
75114 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:42 | Soft Killed
75122 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:55:42 | Soft Killed
75144 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:43 | Soft Killed
75148 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:55:44 | Soft Killed
75166 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:55:45 | Soft Killed
75200 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:48 | Soft Killed
75200 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:55:48 | Soft Killed
75218 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:49 | Soft Killed
75216 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:55:49 | Soft Killed
75232 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:49 | Soft Killed
75202 | ps | CPU:200% | MEM:0.0% | 2025-12-19 10:55:50 | Soft Killed
75202 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:50 | Soft Killed
75250 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:55:50 | Soft Killed
75271 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:52 | Soft Killed
75315 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:56 | Soft Killed
75319 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:56 | Soft Killed
75319 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:56 | Soft Killed
75336 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:55:56 | Soft Killed
75321 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:58 | Soft Killed
75321 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:55:58 | Soft Killed
75376 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:55:59 | Soft Killed
75410 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:02 | Soft Killed
75410 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:02 | Soft Killed
75426 | ps | CPU:233% | MEM:0.1% | 2025-12-19 10:56:03 | Soft Killed
75430 | ps | CPU:500% | MEM:0.1% | 2025-12-19 10:56:03 | Soft Killed
75442 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:03 | Soft Killed
75412 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:04 | Soft Killed
75412 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:04 | Soft Killed
75464 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:05 | Soft Killed
75464 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:05 | Soft Killed
75482 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:06 | Soft Killed
75465 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:07 | Soft Killed
75465 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:07 | Soft Killed
75534 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:10 | Soft Killed
75538 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:56:10 | Soft Killed
75550 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:11 | Soft Killed
75554 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:11 | Soft Killed
75554 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:11 | Soft Killed
75555 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:13 | Soft Killed
75585 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:13 | Soft Killed
75555 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:13 | Soft Killed
75610 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:14 | Soft Killed
75610 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:14 | Soft Killed
75612 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:16 | Soft Killed
75612 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:16 | Soft Killed
75653 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:17 | Soft Killed
75698 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:20 | Soft Killed
75698 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:20 | Soft Killed
75698 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:20 | Soft Killed
75700 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:22 | Soft Killed
75700 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:22 | Soft Killed
75700 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:56:22 | Soft Killed
